Issue Type,Epic Name,Component,Description,Story Points,Priority,Sprint,Epic Link (Dependency),Team
Epic,Integration Testing,Testing QA,API integration tests,21,Medium,Sprint 4,Data Validation & Business Logic,QA Team
Epic,Frontend Testing,Testing QA,Component and E2E tests,21,Medium,Sprint 4,Responsive Design,QA Team
Epic,User Acceptance Testing,Testing QA,UAT with client,13,Medium,Sprint 4,All previous,QA Team
Epic,Bug Fixing,Testing QA,Fix identified bugs,21,Medium,Sprint 4,User Acceptance Testing,All Teams
Epic,Server Setup,DevOps,Configure production server,13,Medium,Sprint 4,None,DevOps Team
Epic,CI/CD Pipeline,DevOps,Automated deployment,13,Medium,Sprint 4,Server Setup,DevOps Team
Epic,Database Migration,DevOps,Production database setup,8,High,Sprint 4,Database Optimization,DevOps Team
Epic,SSL & Security,DevOps,HTTPS security headers,8,High,Sprint 4,Server Setup,DevOps Team
Epic,Backup & Monitoring,DevOps,Automated backups monitoring,13,Medium,Sprint 4,Database Migration,DevOps Team
Epic,API Documentation,Documentation,Swagger/OpenAPI docs,8,Medium,Sprint 4,Data Validation & Business Logic,Backend Team
Epic,User Guide,Documentation,End-user documentation,13,Medium,Sprint 4,Responsive Design,All Teams
Epic,Technical Documentation,Documentation,Developer docs architecture,13,Medium,Sprint 4,All components,All Teams
Epic,Video Tutorials,Documentation,Training videos,8,Low,Post-Launch,User Guide,All Teams
Epic,On-site Training,Documentation,Train factory staff,13,Medium,Sprint 4,User Guide,All Teams
