Issue Type,Parent,Epic Link,Components,Summary,Acceptance Criteria,Story Points,Priority,Status,Assigned Team,Story  Key
Story,IF-14,Database Schema Design,Database,As a database designer I want to design production tables,Stage1-4 tables | Relationships | Foreign keys,2,High,To Do,Database Team,
Story,IF-14,Database Schema Design,Database,As a database designer I want to design users and auth tables,Users table | Roles table | Permissions table,1,High,To Do,Database Team,
Story,IF-15,Database Implementation,Database,As a developer I want to create database in MySQL,Create database | Set charset to UTF8MB4 | Configure collation,2,High,To Do,Backend Team,
Story,IF-15,Database Implementation,Database,As a developer I want to create all tables,Execute CREATE TABLE statements | Add constraints | Create indexes,5,High,To Do,Backend Team,
Story,IF-15,Database Implementation,Database,As a developer I want to setup foreign key relationships,Define foreign keys | Set ON DELETE/UPDATE rules | Test referential integrity,3,High,To Do,Backend Team,
Story,IF-16,Database Migrations,Database,As a developer I want to create Laravel migrations,Migration for each table | Up and down methods | Column definitions,3,High,To Do,Backend Team,
Story,IF-16,Database Migrations,Database,As a developer I want to test migrations,Test migrate command | Test rollback | Verify schema,2,Medium,To Do,Backend Team,
Story,IF-19,Barcode Generation,Barcode System,As a developer I want unique barcode format per stage,WH-XXX-YYYY for warehouse | ST1-XXX-YYYY for stage1 | CO3-XXX-YYYY for stage3 | BOX4-XXX-YYYY for stage4,3,High,To Do,Full Stack Team,
Story,IF-19,Barcode Generation,Barcode System,As a developer I want auto-incrementing counters,Separate counter per stage | Zero-padded (001 002 etc) | Reset yearly,3,High,To Do,Full Stack Team,
Story,IF-19,Barcode Generation,Barcode System,As a system I want to prevent duplicate barcodes,Check uniqueness | Handle race conditions | Retry on collision,3,High,To Do,Full Stack Team,
Story,IF-19,Barcode Generation,Barcode System,As a developer I want to parse barcodes,Extract stage from prefix | Extract number | Extract year | Validate format,2,Medium,To Do,Full Stack Team,
Story,IF-19,Barcode Generation,Barcode System,As a system I want to store barcode metadata,Store generation timestamp | Store generated by user | Store stage,2,Low,To Do,Full Stack Team,
Story,IF-20,Barcode Scanning,Barcode System,As a worker I want to scan barcode with camera,Open camera | Auto-detect barcode | Play beep sound | Display result,8,Medium,To Do,Full Stack Team,
Story,IF-20,Barcode Scanning,Barcode System,As a worker I want to manually enter barcode,Text input field | Validation | Auto-format | Submit button,3,Medium,To Do,Full Stack Team,
Story,IF-20,Barcode Scanning,Barcode System,As a worker I want scan history,Store last 10 scans | Quick re-scan | Clear history,5,Low,To Do,Full Stack Team,
Story,IF-20,Barcode Scanning,Barcode System,As a worker I want error handling for invalid scans,Clear error message | Suggest corrections | Retry option,3,Medium,To Do,Full Stack Team,
Story,IF-20,Barcode Scanning,Barcode System,As a developer I want to support multiple barcode types,QR codes | 1D barcodes | Data Matrix,2,Low,To Do,Full Stack Team,
Story,IF-27,User Authentication,Authentication,As a developer I want to implement JWT authentication,Install JWT package | Create auth controller | Generate tokens,5,High,To Do,Backend Team,
Story,IF-27,User Authentication,Authentication,As a user I want to login with credentials,Login endpoint | Validate credentials | Return JWT token,3,High,To Do,Backend Team,
Story,IF-27,User Authentication,Authentication,As a user I want to logout,Logout endpoint | Invalidate token | Clear session,2,High,To Do,Backend Team,
Story,IF-27,User Authentication,Authentication,As a developer I want to protect routes with auth middleware,Auth middleware | Token verification | Return 401 if invalid,3,High,To Do,Backend Team,
Story,IF-28,Role-Based Access Control,Authentication,As a developer I want to define 4 user roles,Admin | Manager | Worker | Viewer roles,2,High,To Do,Backend Team,
Story,IF-28,Role-Based Access Control,Authentication,As a developer I want to assign permissions to roles,CRUD permissions | Stage access | Report access,3,High,To Do,Backend Team,
Story,IF-28,Role-Based Access Control,Authentication,As a system I want to check user permissions,Middleware for permissions | Check role | Return 403 if unauthorized,3,High,To Do,Backend Team,
Story,IF-31,Dashboard Analytics,Reporting,As a manager I want real-time production statistics,Total materials | Total stands | Total coils | Total boxes,5,High,To Do,Full Stack Team,
Story,IF-31,Dashboard Analytics,Reporting,As a manager I want waste statistics,Total waste | Waste by stage | Waste percentage,5,High,To Do,Full Stack Team,
Story,IF-31,Dashboard Analytics,Reporting,As a manager I want today's production summary,Today's added materials | Today's produced items | Comparison with yesterday,5,Medium,To Do,Full Stack Team,
Story,IF-32,Production Reports,Reporting,As a manager I want daily production report,Report for specific date | All stages production | Waste summary,5,Medium,To Do,Full Stack Team,
Story,IF-32,Production Reports,Reporting,As a manager I want weekly production report,Report for week | Trend analysis | Charts,5,Medium,To Do,Full Stack Team,
Story,IF-32,Production Reports,Reporting,As a manager I want monthly production report,Report for month | Detailed breakdown | Export option,5,Medium,To Do,Full Stack Team,
Story,IF-32,Production Reports,Reporting,As a manager I want custom date range reports,Select start and end date | Generate report | Compare periods,3,Low,To Do,Full Stack Team,
Story,IF-40,Unit Testing,Testing QA,As a developer I want unit tests for models,Test all model methods | Test relationships | Test validations,5,Medium,To Do,QA Team,
Story,IF-40,Unit Testing,Testing QA,As a developer I want unit tests for controllers,Test all controller methods | Mock dependencies | Assert responses,8,Medium,To Do,QA Team,
Story,IF-41,Integration Testing,Testing QA,As a developer I want API integration tests,Test all endpoints | Test authentication | Test error cases,8,Medium,To Do,QA Team,
Story,IF-42,Frontend Testing,Testing QA,As a developer I want component tests,Test all React/Vue components | Test props | Test events,8,Medium,To Do,QA Team,
Story,IF-43,User Acceptance Testing,Testing QA,As a client I want to test the system with real data,Provide test scenarios | Test all features | Report bugs,5,Medium,To Do,QA Team,
Story,IF-45,Server Setup,DevOps,As a devops engineer I want to setup production server,Install Ubuntu/CentOS | Configure firewall | Install dependencies,5,Medium,To Do,DevOps Team,
Story,IF-45,Server Setup,DevOps,As a devops engineer I want to install web server,Install Nginx | Configure virtual hosts | Test configuration,3,Medium,To Do,DevOps Team,
Story,IF-47,Database Migration,DevOps,As a devops engineer I want to migrate database to production,Export database | Import to production | Run migrations,3,High,To Do,DevOps Team,
Story,IF-51,User Guide,Documentation,As a user I want user guide documentation,Installation guide | Features guide | Troubleshooting,5,Medium,To Do,All Teams,
Story,IF-51,User Guide,Documentation,As a user I want step-by-step tutorials,How to add materials | How to track products | How to generate reports,5,Medium,To Do,All Teams,
